	시군구1	시군구2	SIG_KOR_NM		계	상급종합병원	종합병원	병원	요양병원	의원	치과병원	치과의원	한방병원	한의원	보건소	보건지소	보건진료소	보건의료원	조산원	약국
229	경기	가평군	가평군	TRUE	114	0	0	3	3	26	0	20	1	16	1	5	15	0	0	24
176	서울	강남구	강남구	TRUE	3088	2	2	33	9	1639	15	566	11	366	1	0	0	0	0	444
178	서울	강동구	강동구	TRUE	1023	0	3	15	6	354	3	218	5	185	1	0	0	0	0	233
233	강원	강릉시	강릉시	TRUE	347	0	4	3	4	114	1	56	0	59	1	7	9	0	0	89
162	서울	강북구	강북구	TRUE	628	0	1	8	6	225	1	124	0	96	1	0	0	0	0	166
90	부산	강서구	강서구	TRUE	147	0	0	4	0	49	1	27	0	21	1	4	3	0	0	37
169	서울	강서구	강서구	TRUE	1080	0	4	17	4	394	3	219	4	191	1	0	0	0	0	243
32	전남	강진군	강진군	TRUE	71	0	0	2	1	20	0	6	0	7	1	10	7	0	0	17
187	인천	강화군	강화군	TRUE	107	0	1	2	4	20	0	14	1	16	1	13	13	0	0	22
142	경남	거제시	거제시	TRUE	317	0	3	7	2	102	3	55	0	46	1	10	12	0	0	76
152	경남	거창군	거창군	TRUE	127	0	0	2	3	31	0	16	0	13	1	11	18	0	0	32
118	경북	경산시	경산시	TRUE	427	0	1	4	12	146	2	74	0	63	1	8	10	0	0	106
110	경북	경주시	경주시	TRUE	407	0	1	10	14	115	2	58	1	68	1	12	16	0	0	109
70	충남	계룡시	계룡시	TRUE	61	0	0	1	1	18	0	13	0	11	1	2	0	0	0	14
185	인천	계양구	계양구	TRUE	477	0	2	8	10	160	0	105	4	71	1	1	0	0	1	114
125	경북	고령군	고령군	TRUE	62	0	0	1	2	12	0	8	0	10	1	7	10	0	0	11
147	경남	고성군	고성군	TRUE	89	0	0	3	2	19	0	11	0	12	1	13	12	0	0	16
247	강원	고성군	고성군	TRUE	41	0	0	0	0	7	0	5	0	4	1	3	9	0	0	12
205	경기	고양시덕양구	고양시덕양구	TRUE	645	0	1	8	7	224	2	116	0	116	1	0	0	0	0	170
206	경기	고양시일산동구	고양시일산동구	TRUE	478	0	4	11	17	154	2	96	3	70	1	0	0	0	0	120
207	경기	고양시일산서구	고양시일산서구	TRUE	485	0	1	5	7	169	2	93	0	91	1	0	0	0	0	116
18	전북	고창군	고창군	TRUE	123	0	1	1	5	31	0	13	0	11	1	12	24	0	0	24
28	전남	고흥군	고흥군	TRUE	141	0	1	3	1	32	0	12	0	17	1	16	26	0	0	32
26	전남	곡성군	곡성군	TRUE	70	0	0	1	2	14	0	9	0	5	0	8	15	1	0	15
65	충남	공주시	공주시	TRUE	221	0	1	1	10	66	0	25	1	32	1	10	19	0	0	55
208	경기	과천시	과천시	TRUE	92	0	0	0	0	38	1	17	0	14	1	0	0	0	0	21
174	서울	관악구	관악구	TRUE	909	0	1	10	3	319	1	204	2	153	1	0	0	0	0	215
200	경기	광명시	광명시	TRUE	530	0	1	5	5	205	0	114	0	81	1	0	0	0	0	118
4	광주	광산구	광산구	TRUE	640	0	6	18	17	206	3	139	18	72	1	1	7	0	0	152
24	전남	광양시	광양시	TRUE	210	0	1	4	5	62	0	40	1	25	1	8	14	0	0	49
224	경기	광주시	광주시	TRUE	406	0	1	2	7	131	1	74	0	69	1	3	12	0	0	105
158	서울	광진구	광진구	TRUE	723	1	1	5	3	268	2	154	0	118	1	0	0	0	0	170
60	충북	괴산군	괴산군	TRUE	64	0	0	2	1	9	0	5	0	6	1	12	17	0	0	11
27	전남	구례군	구례군	TRUE	57	0	0	1	3	10	0	5	0	7	0	7	12	1	0	11
170	서울	구로구	구로구	TRUE	741	1	1	8	9	261	1	166	2	110	1	1	0	0	0	180
209	경기	구리시	구리시	TRUE	418	0	1	9	5	146	0	93	0	66	1	2	0	0	0	95
113	경북	구미시	구미시	TRUE	616	0	3	8	9	217	5	104	0	92	2	8	12	0	0	156
