,시도,시군구,행정구역명,행정동(행정기관명),법정동,행정구역코드,행정기관코드,행정기관5자리,행정기관 생성일,법정동코드,법정동 관할지역,행정동 영문명칭,비고
0,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,11.0,1100000000,11000,19880423,1100000000,,Seoul,
90,서울특별시,종로구,창신1동,창신제1동,창신동,1101067.0,1111067000,11110,19880423,1111017400,분할연계,Changsin 1(il)-dong,
91,서울특별시,종로구,창신2동,창신제2동,창신동,1101068.0,1111068000,11110,19880423,1111017400,분할연계,Changsin 2(i)-dong,
92,서울특별시,종로구,창신3동,창신제3동,창신동,1101069.0,1111069000,11110,19880423,1111017400,분할연계,Changsin 3(sam)-dong,
93,서울특별시,종로구,숭인1동,숭인제1동,숭인동,1101070.0,1111070000,11110,19880423,1111017500,분할연계,Sungin 1(il)-dong,
94,서울특별시,종로구,숭인2동,숭인제2동,숭인동,1101071.0,1111071000,11110,19880423,1111017500,분할연계,Sungin 2(i)-dong,
183,서울특별시,중구,황학동,황학동,황학동,1102067.0,1114067000,11140,19880423,1114016500,,Hwanghak-dong,
184,서울특별시,중구,중림동,중림동,중림동,1102068.0,1114068000,11140,19880423,1114017100,,Jungnim-dong,
185,서울특별시,중구,중림동,중림동,의주로2가,1102068.0,1114068000,11140,19880423,1114017200,,Jungnim-dong,
186,서울특별시,중구,중림동,중림동,만리동1가,1102068.0,1114068000,11140,19880423,1114017300,,Jungnim-dong,
187,서울특별시,중구,중림동,중림동,만리동2가,1102068.0,1114068000,11140,19880423,1114017400,,Jungnim-dong,
222,서울특별시,용산구,서빙고동,서빙고동,동빙고동,1103069.0,1117069000,11170,19880423,1117013200,,Seobinggo-dong,
223,서울특별시,용산구,서빙고동,서빙고동,서빙고동,1103069.0,1117069000,11170,19880423,1117013300,,Seobinggo-dong,
224,서울특별시,용산구,서빙고동,서빙고동,주성동,1103069.0,1117069000,11170,19880423,1117013400,,Seobinggo-dong,
225,서울특별시,용산구,서빙고동,서빙고동,용산동6가,1103069.0,1117069000,11170,19880423,1117013500,,Seobinggo-dong,
226,서울특별시,용산구,보광동,보광동,보광동,1103070.0,1117070000,11170,19880423,1117013600,,Bogwang-dong,
246,서울특별시,성동구,성수2가1동,성수2가제1동,성수동2가,1104067.0,1120067000,11200,19880423,1120011500,분할연계,Seongsu 2(i)-ga1(il)-dong,
247,서울특별시,성동구,성수2가3동,성수2가제3동,성수동2가,1104068.0,1120069000,11200,19880423,1120011500,분할연계,Seongsu 2(i)-ga 3(sam)-dong,
248,서울특별시,성동구,송정동,송정동,송정동,1104069.0,1120072000,11200,19880423,1120011800,분할연계,Songjeong-dong,
249,서울특별시,성동구,용답동,용답동,송정동,1104070.0,1120079000,11200,19880423,1120011800,분할연계,Yongdap-dong,
250,서울특별시,성동구,용답동,용답동,용답동,1104070.0,1120079000,11200,19880423,1120012200,,Yongdap-dong,
262,서울특별시,광진구,자양3동,자양제3동,자양동,1105066.0,1121584000,11215,19950301,1121510500,분할연계,Jayang 3(sam)-dong,
263,서울특별시,광진구,자양4동,자양제4동,자양동,1105067.0,1121584700,11215,20080101,1121510500,분할연계,Jayang 4(sa)-dong,
264,서울특별시,광진구,구의1동,구의제1동,구의동,1105060.0,1121585000,11215,19950301,1121510300,분할연계,Guui 1(il)-dong,
265,서울특별시,광진구,구의2동,구의제2동,구의동,1105061.0,1121586000,11215,19950301,1121510300,분할연계,Guui 2(i)-dong,
266,서울특별시,광진구,구의3동,구의제3동,구의동,1105062.0,1121587000,11215,19950301,1121510300,분할연계,Guui 3(sam)-dong,
278,서울특별시,동대문구,회기동,회기동,회기동,1106071.0,1123071000,11230,19880423,1123010800,,Hoegi-dong,
279,서울특별시,동대문구,휘경1동,휘경제1동,휘경동,1106072.0,1123072000,11230,19880423,1123010900,분할연계,Hwigyeong 1(il)-dong,
280,서울특별시,동대문구,휘경2동,휘경제2동,휘경동,1106073.0,1123073000,11230,19880423,1123010900,분할연계,Hwigyeong 2(i)-dong,
281,서울특별시,동대문구,이문1동,이문제1동,이문동,1106089.0,1123074000,11230,20090504,1123011000,분할연계,Imun 1(il)-dong,
282,서울특별시,동대문구,이문2동,이문제2동,이문동,1106090.0,1123075000,11230,20090504,1123011000,분할연계,Imun 2(i)-dong,
295,서울특별시,중랑구,묵2동,묵제2동,묵동,1107065.0,1126063000,11260,19880423,1126010400,분할연계,Muk 2(i)-dong,
296,서울특별시,중랑구,망우본동,망우본동,망우동,1107073.0,1126065500,11260,20080101,1126010500,분할연계,Mangubon-dong,
297,서울특별시,중랑구,망우3동,망우제3동,망우동,1107068.0,1126066000,11260,19880423,1126010500,분할연계,Mangu 3(sam)-dong,
298,서울특별시,중랑구,신내1동,신내1동,신내동,1107069.0,1126068000,11260,19960301,1126010600,분할연계,Sinnae 1(il)-dong,
299,서울특별시,중랑구,신내2동,신내2동,신내동,1107070.0,1126069000,11260,19960301,1126010600,분할연계,Sinnae 2(i)-dong,
347,서울특별시,성북구,월곡2동,월곡제2동,상월곡동,1108072.0,1129072500,11290,19890427,1129013700,,Wolgok 2(i)-dong,
348,서울특별시,성북구,장위1동,장위제1동,장위동,1108076.0,1129076000,11290,19880423,1129013800,분할연계,Jangwi 1(il)-dong,
349,서울특별시,성북구,장위2동,장위제2동,장위동,1108077.0,1129077000,11290,19880423,1129013800,분할연계,Jangwi 2(i)-dong,
350,서울특별시,성북구,장위3동,장위제3동,장위동,1108078.0,1129078000,11290,19880423,1129013800,분할연계,Jangwi 3(sam)-dong,
351,서울특별시,성북구,석관동,석관동,석관동,1108085.0,1129081000,11290,20071230,1129013900,,Seokgwan-dong,
362,서울특별시,강북구,수유2동,수유2동,수유동,1109064.0,1130562500,11305,19950301,1130510300,분할연계,Suyu 2(i)-dong,수유제2동을 폐지하고 수유2동을 신설(명칭변경)(190101)
363,서울특별시,강북구,수유3동,수유3동,수유동,1109065.0,1130563500,11305,19950301,1130510300,분할연계,Suyu 3(sam)-dong,수유제3동을 폐지하고 수유3동을 신설(명칭변경)(190101)
364,서울특별시,강북구,우이동,우이동,수유동,1109074.0,1130564500,11305,20080630,1130510300,분할연계,Ui-dong,
365,서울특별시,강북구,우이동,우이동,우이동,1109074.0,1130564500,11305,20080630,1130510400,,Ui-dong,
366,서울특별시,강북구,인수동,인수동,수유동,1109075.0,1130566000,11305,20080630,1130510300,분할연계,Insu-dong,
377,서울특별시,도봉구,쌍문3동,쌍문제3동,쌍문동,1110053.0,1132068000,11320,19880423,1132010500,분할연계,Ssangmun 3(sam)-dong,
378,서울특별시,도봉구,쌍문4동,쌍문제4동,쌍문동,1110054.0,1132068100,11320,19910907,1132010500,분할연계,Ssangmun 4(sa)-dong,
379,서울특별시,도봉구,방학1동,방학제1동,방학동,1110055.0,1132069000,11320,19880423,1132010600,분할연계,Banghak 1(il)-dong,
380,서울특별시,도봉구,방학2동,방학제2동,방학동,1110056.0,1132070000,11320,19880423,1132010600,분할연계,Banghak 2(i)-dong,
381,서울특별시,도봉구,방학3동,방학제3동,방학동,1110057.0,1132071000,11320,19880701,1132010600,분할연계,Banghak 3(sam)-dong,
397,서울특별시,노원구,상계5동,상계5동,상계동,1111069.0,1135067000,11350,19880423,1135010500,분할연계,Sanggye 5(o)-dong,
398,서울특별시,노원구,상계6·7동,상계6·7동,상계동,1111077.0,1135069500,11350,20080101,1135010500,분할연계,Sanggye 6·7(yuk·chil)-dong,
399,서울특별시,노원구,상계8동,상계8동,상계동,1111072.0,1135070000,11350,19890601,1135010500,분할연계,Sanggye 8(pal)-dong,
400,서울특별시,노원구,상계9동,상계9동,상계동,1111073.0,1135071000,11350,19890901,1135010500,분할연계,Sanggye 9(gu)-dong,
401,서울특별시,노원구,상계10동,상계10동,상계동,1111074.0,1135072000,11350,19890901,1135010500,분할연계,Sanggye 10(sip)-dong,
414,서울특별시,은평구,신사1동,신사제1동,신사동,1112065.0,1138063100,11380,19890901,1138010900,분할연계,Sinsa 1(il)-dong,
415,서울특별시,은평구,신사2동,신사제2동,신사동,1112066.0,1138063200,11380,19890901,1138010900,분할연계,Sinsa 2(i)-dong,
416,서울특별시,은평구,증산동,증산동,증산동,1112067.0,1138064000,11380,19880423,1138011000,,Jeungsan-dong,
417,서울특별시,은평구,수색동,수색동,수색동,1112068.0,1138065000,11380,19880423,1138010100,,Susaek-dong,
418,서울특별시,은평구,진관동,진관동,진관동,1112071.0,1138069000,11380,20070813,1138011400,,Jingwan-dong,
441,서울특별시,서대문구,홍은2동,홍은제2동,홍은동,1113068.0,1141068500,11410,20080506,1141011800,분할연계,Hongeun 2(i)-dong,
442,서울특별시,서대문구,남가좌1동,남가좌제1동,남가좌동,1113069.0,1141069000,11410,19880423,1141012000,분할연계,Namgajwa 1(il)-dong,
443,서울특별시,서대문구,남가좌2동,남가좌제2동,남가좌동,1113070.0,1141070000,11410,19880423,1141012000,분할연계,Namgajwa 2(i)-dong,
444,서울특별시,서대문구,북가좌1동,북가좌제1동,북가좌동,1113071.0,1141071000,11410,19880423,1141011900,분할연계,Bukgajwa 1(il)-dong,
445,서울특별시,서대문구,북가좌2동,북가좌제2동,북가좌동,1113072.0,1141072000,11410,19880423,1141011900,분할연계,Bukgajwa 2(i)-dong,
483,서울특별시,마포구,연남동,연남동,연남동,1114071.0,1144071000,11440,19880423,1144012400,,Yeonnam-dong,
484,서울특별시,마포구,성산1동,성산제1동,성산동,1114072.0,1144072000,11440,19880423,1144012500,분할연계,Seongsan 1(il)-dong,
485,서울특별시,마포구,성산2동,성산제2동,성산동,1114073.0,1144073000,11440,19880423,1144012500,분할연계,Seongsan 2(i)-dong,
486,서울특별시,마포구,성산2동,성산제2동,중동,1114073.0,1144073000,11440,19880423,1144012600,,Seongsan 2(i)-dong,
487,서울특별시,마포구,상암동,상암동,상암동,1114074.0,1144074000,11440,19880423,1144012700,,Sangam-dong,
502,서울특별시,양천구,신정2동,신정2동,신정동,1115065.0,1147063000,11470,19880423,1147010100,분할연계,Sinjeong 2(i)-dong,
