,기관코드_int,기관코드_str,시군구별(1),시군구별(2),계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,한방병원,한의원,보건소,보건지소,보건진료소,보건의료원,조산원,약국
0,42150,42150,강원,강릉시,347,-,4,3,4,114,1,56,-,59,1,7,9,-,-,89
1,42820,42820,강원,고성군,41,-,-,-,-,7,-,5,-,4,1,3,9,-,-,12
2,42170,42170,강원,동해시,140,-,1,2,3,50,-,26,-,17,1,1,-,-,-,39
3,42230,42230,강원,삼척시,94,-,1,1,1,27,-,12,-,10,1,8,6,-,-,27
4,42210,42210,강원,속초시,165,-,2,-,2,64,1,30,-,24,1,-,-,-,-,41
5,42800,42800,강원,양구군,33,-,-,3,-,5,-,5,-,4,1,4,3,-,-,8
6,42830,42830,강원,양양군,37,-,-,-,-,6,-,4,-,4,1,5,5,-,-,12
7,42750,42750,강원,영월군,56,-,1,1,1,12,-,6,-,6,1,7,5,-,-,16
8,42130,42130,강원,원주시,597,1,1,18,6,197,2,94,1,103,1,9,8,-,-,156
9,42810,42810,강원,인제군,46,-,-,1,1,8,-,6,-,5,1,5,5,-,-,14
10,42770,42770,강원,정선군,53,-,-,2,-,9,-,5,-,4,1,7,11,-,-,14
11,42780,42780,강원,철원군,70,-,-,1,1,18,-,8,-,8,1,4,7,-,-,22
12,42110,42110,강원,춘천시,472,-,2,9,7,161,-,81,-,69,1,10,13,-,-,119
13,42190,42190,강원,태백시,64,-,1,1,-,23,-,9,-,7,1,1,1,-,-,20
14,42760,42760,강원,평창군,84,-,-,-,2,17,-,13,-,10,-,6,15,1,-,20
15,42720,42720,강원,홍천군,115,-,1,2,3,30,-,16,-,11,1,8,18,-,-,25
16,42790,42790,강원,화천군,36,-,-,-,-,8,-,5,-,4,-,4,6,1,-,8
17,42730,42730,강원,횡성군,69,-,-,1,1,13,-,7,-,13,1,8,8,-,-,17
18,41820,41820,경기,가평군,114,-,-,3,3,26,-,20,1,16,1,5,15,-,-,24
19,41281,41281,경기,고양시 덕양구,645,-,1,8,7,224,2,116,-,116,1,-,-,-,-,170
20,41285,41285,경기,고양시 일산동구,478,-,4,11,17,154,2,96,3,70,1,-,-,-,-,120
