,기관코드_int,시군구1,시군구2,계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,한방병원,한의원,보건소,보건지소,보건진료소,보건의료원,조산원,약국,65세이상인구,총인구,비율소수점
0,42150,강원,강릉시,347,0,4,3,4,114,1,56,0,59,1,7,9,0,0,89,42072,216357,0.1945
1,42820,강원,고성군,41,0,0,0,0,7,0,5,0,4,1,3,9,0,0,12,7212,27144,0.2657
2,42170,강원,동해시,140,0,1,2,3,50,0,26,0,17,1,1,0,0,0,39,16825,86780,0.1939
3,42230,강원,삼척시,94,0,1,1,1,27,0,12,0,10,1,8,6,0,0,27,15258,67210,0.227
4,42210,강원,속초시,165,0,2,0,2,64,1,30,0,24,1,0,0,0,0,41,14478,78643,0.1841
5,42800,강원,양구군,33,0,0,3,0,5,0,5,0,4,1,4,3,0,0,8,4287,21780,0.1968
6,42830,강원,양양군,37,0,0,0,0,6,0,4,0,4,1,5,5,0,0,12,7650,26280,0.2911
7,42750,강원,영월군,56,0,1,1,1,12,0,6,0,6,1,7,5,0,0,16,10334,36332,0.2844
8,42130,강원,원주시,597,1,1,18,6,197,2,94,1,103,1,9,8,0,0,156,49215,349319,0.1409
9,42810,강원,인제군,46,0,0,1,1,8,0,6,0,5,1,5,5,0,0,14,5890,30133,0.1955
10,42770,강원,정선군,53,0,0,2,0,9,0,5,0,4,1,7,11,0,0,14,9057,35255,0.2569
11,42780,강원,철원군,70,0,0,1,1,18,0,8,0,8,1,4,7,0,0,22,9324,43520,0.2142
12,42110,강원,춘천시,472,0,2,9,7,161,0,81,0,69,1,10,13,0,0,119,46721,284753,0.1641
13,42190,강원,태백시,64,0,1,1,0,23,0,9,0,7,1,1,1,0,0,20,9869,42474,0.2324
14,42760,강원,평창군,84,0,0,0,2,17,0,13,0,10,0,6,15,1,0,20,10563,39657,0.2664
15,42720,강원,홍천군,115,0,1,2,3,30,0,16,0,11,1,8,18,0,0,25,16429,66634,0.2466
16,42790,강원,화천군,36,0,0,0,0,8,0,5,0,4,0,4,6,1,0,8,5020,23425,0.2143
17,42730,강원,횡성군,69,0,0,1,1,13,0,7,0,13,1,8,8,0,0,17,12269,44431,0.2761
18,41820,경기,가평군,114,0,0,3,3,26,0,20,1,16,1,5,15,0,0,24,14374,59823,0.2403
19,41281,경기,고양시 덕양구,645,0,1,8,7,224,2,116,0,116,1,0,0,0,0,170,62661,448571,0.1397
20,41285,경기,고양시 일산동구,478,0,4,11,17,154,2,96,3,70,1,0,0,0,0,120,35203,287041,0.1226
21,41287,경기,고양시 일산서구,485,0,1,5,7,169,2,93,0,91,1,0,0,0,0,116,34797,289033,0.1204
22,41290,경기,과천시,92,0,0,0,0,38,1,17,0,14,1,0,0,0,0,21,7539,53830,0.1401
23,41210,경기,광명시,530,0,1,5,5,205,0,114,0,81,1,0,0,0,0,118,40547,313462,0.1294
24,41610,경기,광주시,406,0,1,2,7,131,1,74,0,69,1,3,12,0,0,105,45324,375238,0.1208
25,41310,경기,구리시,418,0,1,9,5,146,0,93,0,66,1,2,0,0,0,95,24496,192270,0.1274
26,41410,경기,군포시,429,0,2,3,8,140,2,97,0,68,1,1,0,0,0,107,33854,275154,0.123
27,41570,경기,김포시,604,0,2,15,7,200,0,131,6,94,1,6,7,0,0,135,50806,442910,0.1147
28,41360,경기,남양주시,912,0,3,12,19,308,0,194,0,139,2,6,3,0,1,225,91633,681077,0.1345
29,41250,경기,동두천시,140,0,0,1,10,41,0,26,0,18,1,0,0,0,0,43,18471,96541,0.1913
30,41190,경기,부천시,1432,1,4,23,31,510,4,282,9,218,3,0,0,0,1,346,104948,836751,0.1254
31,41135,경기,성남시 분당구,1167,1,3,10,6,443,5,261,3,201,1,1,0,0,0,232,56060,462634,0.1212
32,41131,경기,성남시 수정구,513,0,2,5,6,193,1,116,1,70,1,0,0,0,0,118,35185,241256,0.1458
33,41133,경기,성남시 중원구,415,0,1,2,4,152,1,84,0,72,1,0,0,0,0,98,31260,216005,0.1447
34,41113,경기,수원시 권선구,470,0,0,9,4,154,0,99,0,79,1,0,0,0,0,124,38508,374770,0.1028
35,41117,경기,수원시 영통구,582,1,0,8,5,209,0,144,1,90,1,0,0,0,0,123,24744,368876,0.0671
36,41111,경기,수원시 장안구,446,0,1,5,9,147,0,97,0,77,1,0,0,0,0,109,34336,282288,0.1216
37,41115,경기,수원시 팔달구,584,0,2,11,7,221,1,104,3,107,1,0,0,0,0,127,26069,189052,0.1379
38,41390,경기,시흥시,622,0,3,4,13,226,2,131,9,74,1,1,4,0,0,154,42865,508749,0.0843
39,41273,경기,안산시 단원구,620,1,2,14,10,229,4,108,8,81,1,2,2,0,1,157,32052,358030,0.0895
40,41271,경기,안산시 상록구,404,0,1,7,7,128,0,79,7,59,1,2,0,0,0,113,37546,356620,0.1053
41,41550,경기,안성시,271,0,2,2,10,74,1,47,0,33,1,9,15,0,0,77,30900,202284,0.1528
42,41173,경기,안양시 동안구,699,1,0,11,1,253,1,164,0,119,1,0,0,0,2,146,34315,311139,0.1103
43,41171,경기,안양시 만안구,400,0,2,3,8,129,0,88,2,64,1,0,0,0,0,103,36085,246200,0.1466
44,41630,경기,양주시,252,0,0,5,12,80,0,47,0,30,1,2,3,0,0,72,33876,224684,0.1508
45,41830,경기,양평군,178,0,0,2,8,41,0,29,1,32,1,10,16,0,0,38,27007,111836,0.2415
46,41670,경기,여주시,191,0,0,4,6,50,0,33,0,27,1,9,13,0,0,48,22304,111981,0.1992
47,41800,경기,연천군,69,0,0,0,1,13,0,11,0,7,0,7,7,1,0,22,10435,42540,0.2453
48,41370,경기,오산시,314,0,2,6,6,103,1,70,1,41,1,0,0,0,0,83,20820,233998,0.089
49,41463,경기,용인시 기흥구,571,0,1,4,13,207,1,129,1,86,1,0,2,0,0,126,53003,434075,0.1221
50,41465,경기,용인시 수지구,534,0,0,3,5,190,1,121,0,98,1,0,1,0,0,114,45315,351807,0.1288
51,41461,경기,용인시 처인구,324,0,2,3,7,102,0,69,1,44,1,7,7,0,0,81,34460,266647,0.1292
52,41430,경기,의왕시,189,0,0,2,4,62,1,44,0,30,1,1,0,0,1,43,20356,155826,0.1306
53,41150,경기,의정부시,729,0,4,13,10,273,2,143,3,95,1,0,0,0,0,185,64157,440357,0.1457
54,41500,경기,이천시,333,0,1,4,8,108,1,55,0,44,1,7,15,0,0,89,28562,222995,0.1281
55,41480,경기,파주시,573,0,1,11,20,184,0,114,1,85,1,6,7,0,0,143,59275,454328,0.1305
56,41220,경기,평택시,765,0,4,11,7,253,0,148,1,111,2,9,11,0,1,207,59331,521172,0.1138
57,41650,경기,포천시,209,0,2,2,6,62,0,36,0,24,1,13,9,0,0,54,26607,159871,0.1664
58,41450,경기,하남시,381,0,0,7,4,148,0,76,0,58,1,0,0,0,0,87,32173,260544,0.1235
59,41590,경기,화성시,1001,0,3,12,12,339,0,204,3,148,1,15,12,0,0,252,67601,838635,0.0806
60,48310,경남,거제시,317,0,3,7,2,102,3,55,0,46,1,10,12,0,0,76,24073,251226,0.0958
61,48880,경남,거창군,127,0,0,2,3,31,0,16,0,13,1,11,18,0,0,32,15983,59888,0.2669
62,48820,경남,고성군,89,0,0,3,2,19,0,11,0,12,1,13,12,0,0,16,14841,50887,0.2916
63,48250,경남,김해시,711,0,5,25,35,218,5,130,3,104,1,8,1,0,0,176,57030,549331,0.1038
64,48840,경남,남해군,88,0,0,1,1,23,0,9,0,9,1,9,15,0,0,20,15195,42169,0.3603
65,48270,경남,밀양시,178,0,0,8,5,44,0,26,1,23,1,9,15,0,0,46,26979,103402,0.2609
66,48240,경남,사천시,191,0,0,5,7,51,0,35,0,27,1,7,12,0,0,46,22962,111110,0.2067
67,48860,경남,산청군,72,0,0,0,1,13,0,6,0,13,0,9,15,1,0,14,11834,33579,0.3524
68,48330,경남,양산시,507,1,2,10,18,174,3,83,2,81,1,6,2,0,0,124,43747,347221,0.126
69,48720,경남,의령군,60,0,0,2,2,11,0,5,0,7,1,11,10,0,0,11,9146,26040,0.3512
70,48170,경남,진주시,597,1,3,13,10,192,3,107,2,94,1,11,13,0,0,147,54912,354166,0.155
71,48740,경남,창녕군,129,0,0,4,7,29,0,13,0,15,1,13,19,0,0,28,17636,62370,0.2828
