행정구역별(읍면동),시도,시군구,65세이상인구,총인구,비율,,
11010,서울특별시,종로구,24618,154969,15.89%,로구,
11020,서울특별시,중구,20795,130957,15.88%,구,
11030,서울특별시,용산구,33849,227181,14.90%,산구,
11040,서울특별시,성동구,41882,299688,13.98%,동구,
11050,서울특별시,광진구,46330,359766,12.88%,진구,
11060,서울특별시,동대문구,56358,355094,15.87%,대문구,
11070,서울특별시,중랑구,62533,386331,16.19%,랑구,
11080,서울특별시,성북구,67230,445327,15.10%,북구,
11090,서울특별시,강북구,57789,303871,19.02%,북구,
11100,서울특별시,도봉구,56799,323543,17.56%,봉구,
11110,서울특별시,노원구,77719,522480,14.88%,원구,
11120,서울특별시,은평구,76818,461530,16.64%,평구,
11130,서울특별시,서대문구,48946,319394,15.32%,대문구,
11140,서울특별시,마포구,48862,369327,13.23%,포구,
11150,서울특별시,양천구,58748,440354,13.34%,천구,
11160,서울특별시,강서구,80783,574097,14.07%,서구,
11170,서울특별시,구로구,66992,435560,15.38%,로구,
11180,서울특별시,금천구,37815,249747,15.14%,천구,
11190,서울특별시,영등포구,57606,394083,14.62%,등포구,
11200,서울특별시,동작구,59792,400368,14.93%,작구,
11210,서울특별시,관악구,73151,507828,14.40%,악구,
11220,서울특별시,서초구,53495,404960,13.21%,초구,
11230,서울특별시,강남구,66790,509199,13.12%,남구,
11240,서울특별시,송파구,83510,648600,12.88%,파구,
11250,서울특별시,강동구,60737,415287,14.63%,동구,
21010,부산광역시,중구,10261,41958,24.46%,구,
21020,부산광역시,서구,24769,105847,23.40%,구,
21030,부산광역시,동구,21515,85673,25.11%,구,
21040,부산광역시,영도구,28495,117959,24.16%,도구,
21050,부산광역시,부산진구,64547,352390,18.32%,산진구,
21060,부산광역시,동래구,46231,260986,17.71%,래구,
21070,부산광역시,남구,50037,278849,17.94%,구,
21080,부산광역시,북구,44861,285098,15.74%,구,
21090,부산광역시,해운대구,63879,392846,16.26%,운대구,
21100,부산광역시,사하구,55145,319828,17.24%,하구,
21110,부산광역시,금정구,46197,244726,18.88%,정구,
21120,부산광역시,강서구,13630,128809,10.58%,서구,
21130,부산광역시,연제구,37186,203959,18.23%,제구,
21140,부산광역시,수영구,35317,170414,20.72%,영구,
21150,부산광역시,사상구,36132,222618,16.23%,상구,
21310,부산광역시,기장군,24517,160732,15.25%,장군,
22010,대구광역시,중구,14744,75561,19.51%,구,
22020,대구광역시,동구,62518,337439,18.53%,구,
22030,대구광역시,서구,36722,175243,20.95%,구,
22040,대구광역시,남구,32893,147500,22.30%,구,
22050,대구광역시,북구,59565,446050,13.35%,구,
22060,대구광역시,수성구,62197,415283,14.98%,성구,
22070,대구광역시,달서구,74696,574390,13.00%,서구,
22310,대구광역시,달성군,30130,258474,11.66%,성군,
23010,인천광역시,중구,18419,131863,13.97%,구,
23020,인천광역시,동구,13232,63003,21.00%,구,
23040,인천광역시,연수구,33678,374413,8.99%,수구,
23050,인천광역시,남동구,66215,533119,12.42%,동구,
23060,인천광역시,부평구,69072,514385,13.43%,평구,
23070,인천광역시,계양구,34917,298912,11.68%,양구,
23080,인천광역시,서구,53167,540655,9.83%,구,
23090,인천광역시,미추홀구,64280,411612,15.62%,추홀구,
23310,인천광역시,강화군,20649,65235,31.65%,화군,
23320,인천광역시,옹진군,4701,19040,24.69%,진군,
24010,광주광역시,동구,21355,103754,20.58%,구,
24020,광주광역시,서구,39830,298033,13.36%,구,
24030,광주광역시,남구,36091,217972,16.56%,구,
24040,광주광역시,북구,62071,446661,13.90%,구,
24050,광주광역시,광산구,36973,423310,8.73%,산구,
25010,대전광역시,동구,40283,237273,16.98%,구,
25020,대전광역시,중구,43054,234995,18.32%,구,
25030,대전광역시,서구,56552,480920,11.76%,구,
25040,대전광역시,유성구,31299,366544,8.54%,성구,
25050,대전광역시,대덕구,25698,179107,14.35%,덕구,
26010,울산광역시,중구,30210,219428,13.77%,구,
26020,울산광역시,남구,36394,322135,11.30%,구,
26030,울산광역시,동구,17703,162104,10.92%,구,
26040,울산광역시,북구,15923,213524,7.46%,구,
26310,울산광역시,울주군,29755,226501,13.14%,주군,
29010,세종특별자치시,세종특별자치시,30280,338136,8.95%,종특별자치시,
31011,경기도,수원시 장안구,34336,282288,12.16%,원시 장안구,
31012,경기도,수원시 권선구,38508,374770,10.28%,원시 권선구,
31013,경기도,수원시 팔달구,26069,189052,13.79%,원시 팔달구,
31014,경기도,수원시 영통구,24744,368876,6.71%,원시 영통구,
31021,경기도,성남시 수정구,35185,241256,14.58%,남시 수정구,
31022,경기도,성남시 중원구,31260,216005,14.47%,남시 중원구,
31023,경기도,성남시 분당구,56060,462634,12.12%,남시 분당구,
31030,경기도,의정부시,64157,440357,14.57%,정부시,
31041,경기도,안양시만안구,36085,246200,14.66%,양시만안구,
31042,경기도,안양시동안구,34315,311139,11.03%,양시동안구,
31050,경기도,부천시,104948,836751,12.54%,천시,
31060,경기도,광명시,40547,313462,12.94%,명시,
31070,경기도,평택시,59331,521172,11.38%,택시,
31080,경기도,동두천시,18471,96541,19.13%,두천시,
31091,경기도,안산시상록구,37546,356620,10.53%,산시상록구,
31092,경기도,안산시단원구,32052,358030,8.95%,산시단원구,
31101,경기도,고양시덕양구,62661,448571,13.97%,양시덕양구,
31103,경기도,고양시일산동구,35203,287041,12.26%,양시일산동구,
31104,경기도,고양시일산서구,34797,289033,12.04%,양시일산서구,
31110,경기도,과천시,7539,53830,14.01%,천시,
31120,경기도,구리시,24496,192270,12.74%,리시,
31130,경기도,남양주시,91633,681077,13.45%,양주시,
31140,경기도,오산시,20820,233998,8.90%,산시,
31150,경기도,시흥시,42865,508749,8.43%,흥시,
31160,경기도,군포시,33854,275154,12.30%,포시,
31170,경기도,의왕시,20356,155826,13.06%,왕시,
31180,경기도,하남시,32173,260544,12.35%,남시,
31191,경기도,용인시처인구,34460,266647,12.92%,인시처인구,
31192,경기도,용인시기흥구,53003,434075,12.21%,인시기흥구,
31193,경기도,용인시수지구,45315,351807,12.88%,인시수지구,
31200,경기도,파주시,59275,454328,13.05%,주시,
31210,경기도,이천시,28562,222995,12.81%,천시,
31220,경기도,안성시,30900,202284,15.28%,성시,
31230,경기도,김포시,50806,442910,11.47%,포시,
31240,경기도,화성시,67601,838635,8.06%,성시,
31250,경기도,광주시,45324,375238,12.08%,주시,
31260,경기도,양주시,33876,224684,15.08%,주시,
31270,경기도,포천시,26607,159871,16.64%,천시,
31280,경기도,여주시,22304,111981,19.92%,주시,
31350,경기도,연천군,10435,42540,24.53%,천군,
31370,경기도,가평군,14374,59823,24.03%,평군,
31380,경기도,양평군,27007,111836,24.15%,평군,
32010,강원도,춘천시,46721,284753,16.41%,천시,
32020,강원도,원주시,49215,349319,14.09%,주시,
32030,강원도,강릉시,42072,216357,19.45%,릉시,
32040,강원도,동해시,16825,86780,19.39%,해시,
32050,강원도,태백시,9869,42474,23.24%,백시,
32060,강원도,속초시,14478,78643,18.41%,초시,
32070,강원도,삼척시,15258,67210,22.70%,척시,
32310,강원도,홍천군,16429,66634,24.66%,천군,
32320,강원도,횡성군,12269,44431,27.61%,성군,
32330,강원도,영월군,10334,36332,28.44%,월군,
32340,강원도,평창군,10563,39657,26.64%,창군,
32350,강원도,정선군,9057,35255,25.69%,선군,
32360,강원도,철원군,9324,43520,21.42%,원군,
32370,강원도,화천군,5020,23425,21.43%,천군,
32380,강원도,양구군,4287,21780,19.68%,구군,
32390,강원도,인제군,5890,30133,19.55%,제군,
32400,강원도,고성군,7212,27144,26.57%,성군,
32410,강원도,양양군,7650,26280,29.11%,양군,
33020,충청북도,충주시,38968,216446,18.00%,주시,
33030,충청북도,제천시,27142,136093,19.94%,천시,
33041,충청북도,청주시 상당구,26493,173783,15.24%,주시 상당구,
33042,충청북도,청주시 서원구,27898,210273,13.27%,주시 서원구,
33043,충청북도,청주시 흥덕구,27524,266301,10.34%,주시 흥덕구,
33044,충청북도,청주시 청원구,23244,200581,11.59%,주시 청원구,
33320,충청북도,보은군,10498,32001,32.81%,은군,
33330,충청북도,옥천군,14006,49117,28.52%,천군,
33340,충청북도,영동군,14137,48004,29.45%,동군,
33350,충청북도,진천군,12845,87525,14.68%,천군,
33360,충청북도,괴산군,11717,38808,30.19%,산군,
33370,충청북도,음성군,18412,104823,17.56%,성군,
33380,충청북도,단양군,8272,28095,29.44%,양군,
33390,충청북도,증평군,5998,37493,16.00%,평군,
34011,충청남도,천안시동남구,34948,279153,12.52%,안시동남구,
34012,충청남도,천안시서북구,32042,400590,8.00%,안시서북구,
34020,충청남도,공주시,25724,109877,23.41%,주시,
34030,충청남도,보령시,23883,99320,24.05%,령시,
34040,충청남도,아산시,39379,347032,11.35%,산시,
34050,충청남도,서산시,30460,175204,17.39%,산시,
34060,충청남도,논산시,29298,122111,23.99%,산시,
34070,충청남도,계룡시,4681,41153,11.37%,룡시,
34080,충청남도,당진시,29086,169171,17.19%,진시,
34310,충청남도,금산군,14890,54442,27.35%,산군,
34330,충청남도,부여군,21293,65337,32.59%,여군,
34340,충청남도,서천군,17894,51826,34.53%,천군,
34350,충청남도,청양군,10298,30783,33.45%,양군,
34360,충청남도,홍성군,22316,102791,21.71%,성군,
34370,충청남도,예산군,22670,78963,28.71%,산군,
34380,충청남도,태안군,17672,60896,29.02%,안군,
35011,전라북도,전주시완산구,51411,341123,15.07%,주시완산구,
35012,전라북도,전주시덕진구,42465,320963,13.23%,주시덕진구,
35020,전라북도,군산시,46563,270635,17.21%,산시,
35030,전라북도,익산시,51976,290119,17.92%,산시,
35040,전라북도,정읍시,28180,107348,26.25%,읍시,
35050,전라북도,남원시,21318,77690,27.44%,원시,
35060,전라북도,김제시,24404,80422,30.34%,제시,
35310,전라북도,완주군,19773,96212,20.55%,주군,
35320,전라북도,진안군,7881,23013,34.25%,안군,
35330,전라북도,무주군,7469,22852,32.68%,주군,
35340,전라북도,장수군,6872,21267,32.31%,수군,
35350,전라북도,임실군,9013,26144,34.47%,실군,
35360,전라북도,순창군,8955,26642,33.61%,창군,
35370,전라북도,고창군,17481,53260,32.82%,창군,
35380,전라북도,부안군,15929,49733,32.03%,안군,
36010,전라남도,목포시,36189,228876,15.81%,포시,
36020,전라남도,여수시,49647,270283,18.37%,수시,
36030,전라남도,순천시,40810,270202,15.10%,천시,
36040,전라남도,나주시,24180,112101,21.57%,주시,
36060,전라남도,광양시,18150,143656,12.63%,양시,
36310,전라남도,담양군,13077,43804,29.85%,양군,
36320,전라남도,곡성군,9451,27858,33.93%,성군,
36330,전라남도,구례군,8287,23836,34.77%,례군,
36350,전라남도,고흥군,24156,60332,40.04%,흥군,
36360,전라남도,보성군,14431,38339,37.64%,성군,
36370,전라남도,화순군,15707,59671,26.32%,순군,
36380,전라남도,장흥군,11748,35494,33.10%,흥군,
36390,전라남도,강진군,11020,32805,33.59%,진군,
36400,전라남도,해남군,20413,65175,31.32%,남군,
36410,전라남도,영암군,13201,57476,22.97%,암군,
36420,전라남도,무안군,15759,81789,19.27%,안군,
36430,전라남도,함평군,10700,30556,35.02%,평군,
36440,전라남도,영광군,14090,50004,28.18%,광군,
36450,전라남도,장성군,12085,42193,28.64%,성군,
36460,전라남도,완도군,14625,48366,30.24%,도군,
36470,전라남도,진도군,9318,29295,31.81%,도군,
36480,전라남도,신안군,12671,35432,35.76%,안군,
37011,경상북도,포항시 남구,37012,233172,15.87%,항시 남구,
37012,경상북도,포항시 북구,44235,268892,16.45%,항시 북구,
37020,경상북도,경주시,53055,264314,20.07%,주시,
37030,경상북도,김천시,30495,139902,21.80%,천시,
37040,경상북도,안동시,36930,160344,23.03%,동시,
37050,경상북도,구미시,37194,420319,8.85%,미시,
37060,경상북도,영주시,26704,105235,25.38%,주시,
37070,경상북도,영천시,26438,100487,26.31%,천시,
37080,경상북도,상주시,28640,96641,29.64%,주시,
37090,경상북도,문경시,20044,68542,29.24%,경시,
37100,경상북도,경산시,41971,290088,14.47%,산시,
37310,경상북도,군위군,8545,22206,38.48%,위군,
37320,경상북도,의성군,20099,49477,40.62%,성군,
37330,경상북도,청송군,8719,23958,36.39%,송군,
37340,경상북도,영양군,5851,16146,36.24%,양군,
37350,경상북도,영덕군,12782,35672,35.83%,덕군,
37360,경상북도,청도군,14727,41054,35.87%,도군,
37370,경상북도,고령군,9210,32191,28.61%,령군,
37380,경상북도,성주군,12513,41314,30.29%,주군,
37390,경상북도,칠곡군,16952,118517,14.30%,곡군,
