C행정구역별(읍면동),시/도,시/군/구,뭐할껀지,알지,65세이상인구,총인구,비율
'11010,서울특별시, 종로구,종로구,TRUE,24618,154969,0.158857578
'11020,서울특별시, 중구,중구,TRUE,20795,130957,0.158792581
'11030,서울특별시, 용산구,용산구,TRUE,33849,227181,0.148995735
'11040,서울특별시, 성동구,성동구,TRUE,41882,299688,0.139752009
'11050,서울특별시, 광진구,광진구,TRUE,46330,359766,0.12877815
'11060,서울특별시, 동대문구,동대문구,TRUE,56358,355094,0.158712904
'11070,서울특별시, 중랑구,중랑구,TRUE,62533,386331,0.16186379
'11080,서울특별시, 성북구,성북구,TRUE,67230,445327,0.150967716
'11090,서울특별시, 강북구,강북구,TRUE,57789,303871,0.190176094
'11100,서울특별시, 도봉구,도봉구,TRUE,56799,323543,0.175553172
'11110,서울특별시, 노원구,노원구,TRUE,77719,522480,0.148750191
'11120,서울특별시, 은평구,은평구,TRUE,76818,461530,0.166442051
'11130,서울특별시, 서대문구,서대문구,TRUE,48946,319394,0.15324646
'11140,서울특별시, 마포구,마포구,TRUE,48862,369327,0.132300103
'11150,서울특별시, 양천구,양천구,TRUE,58748,440354,0.133410847
'11160,서울특별시, 강서구,강서구,TRUE,80783,574097,0.140713155
'11170,서울특별시, 구로구,구로구,TRUE,66992,435560,0.153806594
'11180,서울특별시, 금천구,금천구,TRUE,37815,249747,0.15141323
'11190,서울특별시, 영등포구,영등포구,TRUE,57606,394083,0.146177328
'11200,서울특별시, 동작구,동작구,TRUE,59792,400368,0.149342605
'11210,서울특별시, 관악구,관악구,TRUE,73151,507828,0.144046803
'11220,서울특별시, 서초구,서초구,TRUE,53495,404960,0.132099467
'11230,서울특별시, 강남구,강남구,TRUE,66790,509199,0.131166793
'11240,서울특별시, 송파구,송파구,TRUE,83510,648600,0.12875424
'11250,서울특별시, 강동구,강동구,TRUE,60737,415287,0.146253073
'21010,부산광역시, 중구,중구,TRUE,10261,41958,0.244554078
'21020,부산광역시, 서구,서구,TRUE,24769,105847,0.234007577
'21030,부산광역시, 동구,동구,TRUE,21515,85673,0.251129294
'21040,부산광역시, 영도구,영도구,TRUE,28495,117959,0.241566985
'21050,부산광역시, 부산진구,부산진구,TRUE,64547,352390,0.183169216
'21060,부산광역시, 동래구,동래구,TRUE,46231,260986,0.17713977
'21070,부산광역시, 남구,남구,TRUE,50037,278849,0.179441203
'21080,부산광역시, 북구,북구,TRUE,44861,285098,0.15735291
'21090,부산광역시, 해운대구,해운대구,TRUE,63879,392846,0.162605703
'21100,부산광역시, 사하구,사하구,TRUE,55145,319828,0.172420801
'21110,부산광역시, 금정구,금정구,TRUE,46197,244726,0.188770298
'21120,부산광역시, 강서구,강서구,TRUE,13630,128809,0.105815587
'21130,부산광역시, 연제구,연제구,TRUE,37186,203959,0.182320957
'21140,부산광역시, 수영구,수영구,TRUE,35317,170414,0.207242363
'21150,부산광역시, 사상구,사상구,TRUE,36132,222618,0.162304935
'21310,부산광역시, 기장군,기장군,TRUE,24517,160732,0.15253341
'22010,대구광역시, 중구,중구,TRUE,14744,75561,0.195127116
'22020,대구광역시, 동구,동구,TRUE,62518,337439,0.185272005
'22030,대구광역시, 서구,서구,TRUE,36722,175243,0.209549026
'22040,대구광역시, 남구,남구,TRUE,32893,147500,0.22300339
'22050,대구광역시, 북구,북구,TRUE,59565,446050,0.133538841
'22060,대구광역시, 수성구,수성구,TRUE,62197,415283,0.149770157
'22070,대구광역시, 달서구,달서구,TRUE,74696,574390,0.130044047
'22310,대구광역시, 달성군,달성군,TRUE,30130,258474,0.116568784
'23010,인천광역시, 중구,중구,TRUE,18419,131863,0.139682853
'23020,인천광역시, 동구,동구,TRUE,13232,63003,0.210021745
'23040,인천광역시, 연수구,연수구,TRUE,33678,374413,0.0899488
'23050,인천광역시, 남동구,남동구,TRUE,66215,533119,0.124203039
'23060,인천광역시, 부평구,부평구,TRUE,69072,514385,0.134280743
'23070,인천광역시, 계양구,계양구,TRUE,34917,298912,0.116813644
'23080,인천광역시, 서구,서구,TRUE,53167,540655,0.098338127
'23090,인천광역시, 미추홀구,미추홀구,TRUE,64280,411612,0.156166487
'23310,인천광역시, 강화군,강화군,TRUE,20649,65235,0.316532536
'23320,인천광역시, 옹진군,옹진군,TRUE,4701,19040,0.246901261
'24010,광주광역시, 동구,동구,TRUE,21355,103754,0.20582339
'24020,광주광역시, 서구,서구,TRUE,39830,298033,0.133642919
'24030,광주광역시, 남구,남구,TRUE,36091,217972,0.165576313
'24040,광주광역시, 북구,북구,TRUE,62071,446661,0.138966688
