C행정구역별(읍면동)	시/도	시/군/구	65세이상인구	총인구	비율
'31370	경기도	 가평군	14374	59823	0.240275479
'11230	서울특별시	 강남구	66790	509199	0.131166793
'11250	서울특별시	 강동구	60737	415287	0.146253073
'32030	강원도	 강릉시	42072	216357	0.194456385
'11090	서울특별시	 강북구	57789	303871	0.190176094
'11160	서울특별시	 강서구	80783	574097	0.140713155
'21120	부산광역시	 강서구	13630	128809	0.105815587
'36390	전라남도	 강진군	11020	32805	0.335924402
'23310	인천광역시	 강화군	20649	65235	0.316532536
'38090	경상남도	 거제시	24073	251226	0.095822088
'38390	경상남도	 거창군	15983	59888	0.266881512
'37100	경상북도	 경산시	41971	290088	0.144683682
'37020	경상북도	 경주시	53055	264314	0.200727165
'34070	충청남도	 계룡시	4681	41153	0.113746264
'23070	인천광역시	 계양구	34917	298912	0.116813644
'37370	경상북도	 고령군	9210	32191	0.286104812
'32400	강원도	 고성군	7212	27144	0.265694076
'38340	경상남도	 고성군	14841	50887	0.291646196
'31100	경기도	 고양시	132661	1024645	0.129470207
'35370	전라북도	 고창군	17481	53260	0.328220053
'36350	전라남도	 고흥군	24156	60332	0.400384539
'36320	전라남도	 곡성군	9451	27858	0.339256228
'34020	충청남도	 공주시	25724	109877	0.23411633
'31110	경기도	 과천시	7539	53830	0.140052016
'11210	서울특별시	 관악구	73151	507828	0.144046803
'31060	경기도	 광명시	40547	313462	0.129352202
'24050	광주광역시	 광산구	36973	423310	0.087342609
'36060	전라남도	 광양시	18150	143656	0.126343487
'31250	경기도	 광주시	45324	375238	0.12078734
'11050	서울특별시	 광진구	46330	359766	0.12877815
'33360	충청북도	 괴산군	11717	38808	0.301922284
'36330	전라남도	 구례군	8287	23836	0.347667394
'11170	서울특별시	 구로구	66992	435560	0.153806594
'31120	경기도	 구리시	24496	192270	0.127404171
'37050	경상북도	 구미시	37194	420319	0.088489933
'35020	전라북도	 군산시	46563	270635	0.172050917
