SIG_CD,SIG_ENG_NM,SIG_KOR_NM,CTPRVN_CD,CTP_ENG_NM,CTP_KOR_NM
11110,Jongno-gu,종로구,11,Seoul,서울특별시
11140,Jung-gu,중구,11,Seoul,서울특별시
11170,Yongsan-gu,용산구,11,Seoul,서울특별시
11200,Seongdong-gu,성동구,11,Seoul,서울특별시
11215,Gwangjin-gu,광진구,11,Seoul,서울특별시
11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시
11260,Jungnang-gu,중랑구,11,Seoul,서울특별시
11290,Seongbuk-gu,성북구,11,Seoul,서울특별시
11305,Gangbuk-gu,강북구,11,Seoul,서울특별시
11320,Dobong-gu,도봉구,11,Seoul,서울특별시
11350,Nowon-gu,노원구,11,Seoul,서울특별시
11380,Eunpyeong-gu,은평구,11,Seoul,서울특별시
11410,Seodaemun-gu,서대문구,11,Seoul,서울특별시
11440,Mapo-gu,마포구,11,Seoul,서울특별시
11470,Yangcheon-gu,양천구,11,Seoul,서울특별시
11500,Gangseo-gu,강서구,28,Incheon,인천광역시
11530,Guro-gu,구로구,11,Seoul,서울특별시
11545,Geumcheon-gu,금천구,11,Seoul,서울특별시
11560,Yeongdeungpo-gu,영등포구,11,Seoul,서울특별시
11590,Dongjak-gu,동작구,11,Seoul,서울특별시
11620,Gwanak-gu,관악구,11,Seoul,서울특별시
11650,Seocho-gu,서초구,11,Seoul,서울특별시
11680,Gangnam-gu,강남구,11,Seoul,서울특별시
11710,Songpa-gu,송파구,11,Seoul,서울특별시
11740,Gangdong-gu,강동구,11,Seoul,서울특별시
26110,Jung-gu,중구,26,Busan,부산광역시
26140,Seo-gu,서구,26,Busan,부산광역시
26170,Dong-gu,동구,26,Busan,부산광역시
26200,Yeongdo-gu,영도구,26,Busan,부산광역시
26230,Busanjin-gu,부산진구,26,Busan,부산광역시
26260,Dongnae-gu,동래구,26,Busan,부산광역시
26290,Nam-gu,남구,26,Busan,부산광역시
26320,Buk-gu,북구,26,Busan,부산광역시
26350,Haeundae-gu,해운대구,26,Busan,부산광역시
26380,Saha-gu,사하구,26,Busan,부산광역시
26410,Geumjeong-gu,금정구,26,Busan,부산광역시
26440,Gangseo-gu,강서구,26,Busan,부산광역시
26470,Yeonje-gu,연제구,26,Busan,부산광역시
26500,Suyeong-gu,수영구,26,Busan,부산광역시
26530,Sasang-gu,사상구,26,Busan,부산광역시
26710,Gijang-gun,기장군,26,Busan,부산광역시
27110,Jung-gu,중구,27,Daegu,대구광역시
27140,Dong-gu,동구,47,Gyeongsangbuk-do,경상북도
27170,Seo-gu,서구,27,Daegu,대구광역시
27200,Nam-gu,남구,27,Daegu,대구광역시
27230,Buk-gu,북구,47,Gyeongsangbuk-do,경상북도
27260,Suseong-gu,수성구,47,Gyeongsangbuk-do,경상북도
27290,Dalseo-gu,달서구,47,Gyeongsangbuk-do,경상북도
27710,Dalseong-gun,달성군,47,Gyeongsangbuk-do,경상북도
28110,Jung-gu,중구,28,Incheon,인천광역시
28140,Dong-gu,동구,28,Incheon,인천광역시
28170,Nam-gu,미추홀구,28,Incheon,인천광역시
28185,Yeonsu-gu,연수구,28,Incheon,인천광역시
28200,Namdong-gu,남동구,28,Incheon,인천광역시
28237,Bupyeong-gu,부평구,28,Incheon,인천광역시
28245,Gyeyang-gu,계양구,28,Incheon,인천광역시
28260,Seo-gu,서구,28,Incheon,인천광역시
28710,Ganghwa-gun,강화군,28,Incheon,인천광역시
28720,Ongjin-gun,옹진군,28,Incheon,인천광역시
29110,Dong-gu,동구,46,Jellanam-do,전라남도
29140,Seo-gu,서구,29,Gwangju,광주광역시
29155,Nam-gu,남구,46,Jellanam-do,전라남도
29170,Buk-gu,북구,46,Jellanam-do,전라남도
29200,Gwangsan-gu,광산구,46,Jellanam-do,전라남도
30110,Dong-gu,동구,30,Daejeon,대전광역시
30140,Jung-gu,중구,30,Daejeon,대전광역시
30170,Seo-gu,서구,30,Daejeon,대전광역시
30200,Yuseong-gu,유성구,30,Daejeon,대전광역시
30230,Daedeok-gu,대덕구,30,Daejeon,대전광역시
31110,Jung-gu,중구,31,Ulsan,울산광역시
31140,Nam-gu,남구,31,Ulsan,울산광역시
31170,Dong-gu,동구,31,Ulsan,울산광역시
31200,Buk-gu,북구,31,Ulsan,울산광역시
31710,Ulju-gun,울주군,26,Busan,부산광역시
36110,Sejong-si,세종특별자치시,30,Daejeon,대전광역시
41111,"Jangan-gu, Suwon-si",수원시 장안구,41,Gyeonggi-do,경기도
41113,"Gwonseon-gu, Suwon-si",수원시 권선구,41,Gyeonggi-do,경기도
41115,"Paldal-gu, Suwon-si",수원시 팔달구,41,Gyeonggi-do,경기도
41117,"Yeongtong-gu, Suwon-si",수원시 영통구,41,Gyeonggi-do,경기도
