시도,시군구,고혈압,울혈성심부전,협심증,당뇨 급성 합병증,당뇨 만성 합병증,성인 천식,만성 폐쇄성 폐질환,세균성 폐렴,요로 감염증,충수 돌기,소아 천식,소아 위장 관염,소아 세균성 폐렴,소아 요로 감염,소아 천공성 충수염
경기도,가평군,25.1,4.9,8.4,0.4,10.1,2,10.6,3.3,6.2,1.6,17,36.1,2.6,3.6,0.3
서울특별시,강남구,16.2,2.4,4,0.1,4.1,0.9,4.6,1,3.1,1.3,3.1,12.8,2.5,2.4,0
서울특별시,강동구,20,4.2,4.6,0.2,5.8,1.1,5.9,1.1,4.3,1.2,3.5,20,1,2.9,0
강원도,강릉시,29.8,10.4,12.2,0.3,6.8,2.3,10.9,3,5.7,1.6,20.7,33.4,7,3.2,0.2
서울특별시,강북구,21.8,3.8,5.2,0.3,5.7,1.2,7.5,2.2,5.6,1.3,13.5,24.7,6.4,7,0.2
서울특별시,강서구,21.9,3.9,5.6,0.3,5.6,1.6,6.3,1.2,4.4,1.3,8.3,21.4,1.2,5.2,0.1
부산광역시,강서구,32.1,6.2,8.4,0.2,8.7,2.7,20.4,4,5.8,1.5,75.8,65,4.7,2.6,0
전라남도,강진군,31.9,5.5,5.3,0.5,9.9,4.8,36.6,9.6,8.2,1.2,64.3,48.8,19.4,8.1,0
인천광역시,강화군,23.7,3.8,6.3,0.3,7.3,2.3,12.7,4.4,5.8,1.1,42.3,37.4,12.2,4.7,0.1
경상남도,거제시,31.6,6.4,7.6,0.3,9.5,3,32.6,11.5,10.2,1.8,45.2,80.7,38.1,14.2,0.2
경상남도,거창군,25,3.9,4.4,0.2,6.8,1.9,14,5.1,5.3,1.3,23.7,42.1,14.6,1.8,0.4
경상북도,경산시,24.2,5.4,3.8,0.2,8.5,1.8,11.5,1.8,5.6,1.7,45.7,40.9,1.7,2.5,0
경상북도,경주시,29.2,5.7,6.4,0.3,9.2,2.9,14.8,3.4,5.3,1.5,32.6,37.7,5.7,5.4,0.1
충청남도,계룡시,24.9,4.9,6.3,0.1,6,1.2,9.1,2.8,5.1,1.7,29,36.8,8.4,7.3,0
인천광역시,계양구,24.3,4.6,6.1,0.3,8.6,2.4,11.7,2.2,5.6,1.4,12.1,24.1,4.4,3.9,0.1
경상북도,고령군,27.5,4.5,4.2,0.2,5.6,1.9,18.6,4.3,6.3,1.9,57.4,48.8,18.6,10.2,0
강원도,고성군,27.7,7.4,7.9,0.3,6.8,1.6,11,3.8,7.1,1.4,11.3,17.7,6.9,3.1,0.7
경상남도,고성군,35.4,6.8,8.1,0.3,10.5,4.9,38.1,5,9.8,1.7,25.7,55.4,6.8,5.5,0
경기도,고양시덕양구,23.5,4.5,7.4,0.2,5.7,1.9,9.2,0.7,4.3,1.3,16,25.6,1.4,2.5,0.1
경기도,고양시일산동구,22,3.2,6.8,0.2,4.7,1.5,7.2,1.1,4.1,1.4,8.6,20.9,2.7,2.7,0.1
경기도,고양시일산서구,21.5,3.5,5.8,0.2,4.3,1.4,5.6,1.1,3.5,1.3,10.1,23.8,1.8,2.6,0.1
전라북도,고창군,34.6,5.5,8.2,0.5,12.4,4.8,30.5,6.4,8.9,1.3,55.5,76,22.6,4.4,0.3
전라남도,고흥군,37,5.4,7.4,0.5,14.1,6.7,32.1,4.6,8.2,1.6,84.6,58.3,4.1,1.8,0
전라남도,곡성군,27,4.9,7.6,0.4,7.9,2.1,15.7,8.1,9.6,1,45.8,49.6,22.8,26.1,0
충청남도,공주시,26.7,5,5.8,0.3,8,1.6,11,4.6,6.2,1.4,33.2,40.8,11,7.6,0.3
경기도,과천시,14.8,1.9,4.4,0.2,3.9,1.2,4,1,4,1.3,5,16.8,1.3,2,0
서울특별시,관악구,19.6,4.8,4.5,0.3,6.7,1.3,6.7,1.7,3.9,1.5,7.7,39.4,2.5,3.9,0
경기도,광명시,22.3,3.9,6.4,0.3,5.2,1.5,6.1,2.2,6,1.5,16.8,40.9,2.5,4.4,0
광주광역시,광산구,33,5.5,7.6,0.4,9.8,4.1,24.9,7.7,10.2,2.1,64.8,72.7,27.7,5.5,0.1
전라남도,광양시,26.4,4.5,6.5,0.3,7.3,2.6,30.8,3.1,6.2,2,38.4,52.9,2.6,2.9,0
경기도,광주시,20.2,4.2,5.7,0.2,5.2,1.5,7.9,1.5,3.8,1.5,3.2,23.4,1.6,2.7,0.1
서울특별시,광진구,19.9,4.6,8.1,0.2,5.6,1.7,7.3,1.6,3.4,1.3,7.7,14.7,3.2,2.4,0
충청북도,괴산군,27.7,6.3,5.9,0.1,7.4,1.7,15,6,9.6,1.4,18.5,23.8,2.7,10.7,0
전라남도,구례군,28.3,5.2,6.2,0.4,6.8,2.3,43.2,3.2,8.9,2.3,37.3,45.4,3.7,3.6,0
서울특별시,구로구,24.4,4.2,5.7,0.3,5.9,1.3,6.1,2.5,4.6,1.7,10.4,43.6,2,4.9,0.1
경기도,구리시,23.4,5.3,8.8,0.2,11.6,1.9,10.6,2,4.3,1.4,12.1,21,2.8,2.2,0.2
경상북도,구미시,21.8,7.3,5.2,0.3,7.4,1.7,13.3,3.3,7,1.6,34.1,59.8,5.4,11.3,0
전라북도,군산시,26.4,4.6,4.1,0.2,8.3,2.2,11.5,4.4,6,1.1,24,55.3,11.3,2.4,0
경상북도,군위군,22.3,4.7,3.8,0.1,5.9,1.5,12.1,3.1,5.9,1.5,29.7,45.4,8.6,10,0
경기도,군포시,19.9,6,4.7,0.1,5.3,1.6,6.7,2,5.9,1.3,4.1,30.2,1.6,4.1,0.1
충청남도,금산군,29.3,4.5,6.3,0.4,6.9,1.4,12.7,2.3,7.3,1.8,16.2,28,4.8,10.3,0.2
부산광역시,금정구,27.3,4.9,7.9,0.2,7.9,1.6,12.5,5,5.6,1.5,34.7,58.2,12.1,7,0.1
